DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-01-11,CLE,MEM,91.0,101.0,-10,.451,.429,.423,20,40,.513,.762,.250,32,40
2021-01-11,ORL,MIL,99.0,121.0,-22,.429,.769,.355,24,44,.505,.800,.371,25,43
2021-01-11,WAS,PHO,128.0,107.0,21,.522,.607,.441,29,53,.448,.833,.148,21,42
2021-01-11,ATL,PHI,112.0,94.0,18,.374,.778,.386,20,58,.402,.923,.222,20,50
2021-01-11,POR,TOR,112.0,111.0,1,.458,.880,.333,18,42,.449,1.000,.404,27,43
2021-01-11,SAC,IND,127.0,122.0,5,.560,.783,.469,29,44,.485,.833,.333,26,37
2021-01-12,PHI,MIA,137.0,134.0,3,.490,.720,.345,32,52,.462,.792,.339,27,46
2021-01-12,BRK,DEN,122.0,116.0,6,.608,.667,.500,31,41,.500,.625,.486,28,32
2021-01-12,CLE,UTA,87.0,117.0,-30,.389,.643,.258,23,40,.500,.750,.533,26,48
2021-01-12,HOU,LAL,100.0,117.0,-17,.392,.750,.300,23,42,.500,.704,.438,26,55
2021-01-12,OKC,SAS,102.0,112.0,-10,.434,.793,.269,18,52,.432,.909,.286,26,46
2021-01-12,GSW,IND,95.0,104.0,-9,.382,.636,.342,25,46,.443,.680,.321,26,50
2021-01-13,CHO,DAL,93.0,104.0,-11,.380,.500,.263,26,53,.417,.563,.326,22,54
2021-01-13,DET,MIL,101.0,110.0,-9,.391,.682,.400,25,47,.482,.643,.442,31,48
2021-01-13,NYK,BRK,109.0,116.0,-7,.478,.833,.393,22,43,.484,.706,.400,29,46
2021-01-13,MIN,MEM,107.0,118.0,-11,.433,.833,.243,27,48,.472,.769,.320,33,47
2021-01-13,OKC,LAL,99.0,128.0,-29,.430,.789,.323,23,42,.495,.773,.459,26,50
2021-01-13,LAC,NOP,111.0,106.0,5,.473,.852,.486,26,36,.477,.750,.357,18,48
2021-01-13,SAC,POR,126.0,132.0,-6,.524,.731,.500,35,42,.489,.778,.479,28,38
2021-01-14,PHI,MIA,125.0,108.0,17,.537,.833,.459,27,35,.494,.615,.353,28,41
2021-01-14,SAS,HOU,105.0,109.0,-4,.457,.750,.290,26,41,.488,.632,.394,25,49
2021-01-14,TOR,CHO,111.0,108.0,3,.455,.846,.400,33,40,.483,.750,.429,32,44
2021-01-14,DEN,GSW,114.0,104.0,10,.456,.778,.297,29,50,.469,.708,.379,29,43
2021-01-14,POR,IND,87.0,111.0,-24,.368,1.000,.302,16,43,.478,.778,.300,29,50
2021-01-15,BOS,ORL,124.0,97.0,27,.511,.895,.405,25,45,.404,.636,.250,14,46
2021-01-15,CLE,NYK,106.0,103.0,3,.456,.735,.333,26,48,.488,.875,.360,20,39
2021-01-15,MIL,DAL,112.0,109.0,3,.448,.480,.378,22,57,.464,.462,.361,22,51
2021-01-15,OKC,CHI,127.0,125.0,2,.457,.667,.333,26,44,.473,.720,.457,27,56
2021-01-15,UTA,ATL,116.0,92.0,24,.467,.714,.455,27,53,.413,.733,.179,21,41
2021-01-15,LAL,NOP,112.0,95.0,17,.419,.731,.405,31,44,.477,.500,.310,22,47
2021-01-15,SAC,LAC,100.0,138.0,-38,.471,.706,.308,23,32,.584,.800,.514,29,47
2021-01-16,SAS,HOU,103.0,91.0,12,.400,.783,.208,19,58,.369,.630,.375,20,51
2021-01-16,BRK,ORL,122.0,115.0,7,.538,.880,.457,24,41,.463,.813,.304,28,38
2021-01-16,TOR,CHO,116.0,113.0,3,.419,.885,.429,28,43,.437,.759,.417,26,48
2021-01-16,MEM,PHI,106.0,104.0,2,.434,.667,.276,27,43,.440,.719,.280,23,53
2021-01-16,MIA,DET,100.0,120.0,-20,.478,.889,.414,25,31,.505,.667,.391,34,39
2021-01-16,POR,ATL,112.0,106.0,6,.388,.850,.341,18,55,.437,.857,.200,24,48
2021-01-17,BOS,NYK,75.0,105.0,-30,.298,.621,.152,15,43,.475,.810,.387,22,53
2021-01-17,DAL,CHI,101.0,117.0,-16,.441,.579,.258,18,47,.506,.727,.280,32,47
2021-01-17,DEN,UTA,105.0,109.0,-4,.400,.733,.378,25,52,.513,.571,.405,24,36
2021-01-17,SAC,NOP,123.0,128.0,-5,.516,.889,.333,23,33,.529,.794,.500,24,48
2021-01-17,LAC,IND,129.0,96.0,33,.552,.700,.487,27,52,.416,.688,.289,28,33
2021-01-18,NYK,ORL,91.0,84.0,7,.356,.706,.185,15,53,.337,.875,.316,18,51
2021-01-18,ATL,MIN,108.0,97.0,11,.468,.920,.393,32,48,.396,.688,.378,22,39
2021-01-18,POR,SAS,104.0,125.0,-21,.433,.842,.286,20,34,.533,.875,.455,33,48
2021-01-18,MEM,PHO,108.0,104.0,4,.494,.750,.423,31,40,.455,.563,.417,30,44
2021-01-18,BRK,MIL,125.0,123.0,2,.548,.857,.484,26,49,.438,.833,.289,21,41
2021-01-18,TOR,DAL,116.0,93.0,23,.500,.889,.364,23,46,.378,.815,.250,21,38
2021-01-18,CHI,HOU,125.0,120.0,5,.467,.905,.444,23,47,.523,.647,.425,25,36
2021-01-18,MIA,DET,113.0,107.0,6,.573,.789,.400,23,36,.463,.750,.351,24,32
2021-01-18,LAL,GSW,113.0,115.0,-2,.482,.727,.310,23,50,.506,.750,.324,31,32
2021-01-19,DEN,OKC,119.0,101.0,18,.438,.929,.333,29,58,.419,.652,.326,22,41
2021-01-19,UTA,NOP,118.0,102.0,16,.506,.647,.447,28,54,.453,.667,.231,17,38
2021-01-20,CLE,BRK,147.0,135.0,12,.514,.714,.500,29,50,.453,.889,.366,30,52
2021-01-20,IND,DAL,112.0,124.0,-12,.446,.667,.410,21,38,.526,.824,.296,32,49
2021-01-20,PHI,BOS,117.0,109.0,8,.462,.800,.333,20,41,.472,.650,.364,22,45
2021-01-20,ATL,DET,123.0,115.0,8,.440,.684,.391,21,63,.454,.895,.323,22,42
2021-01-20,TOR,MIA,102.0,111.0,-9,.398,.889,.327,27,41,.488,.882,.450,29,46
2021-01-20,MIN,ORL,96.0,97.0,-1,.424,.643,.429,25,43,.391,.714,.323,26,48
2021-01-20,HOU,PHO,103.0,109.0,-6,.420,.864,.323,17,39,.472,.895,.235,25,45
2021-01-20,GSW,SAS,121.0,99.0,22,.505,.700,.395,31,54,.372,.806,.121,17,43
2021-01-20,LAC,SAC,115.0,96.0,19,.477,.944,.457,24,48,.453,.417,.464,25,39
2021-01-21,MIL,LAL,106.0,113.0,-7,.506,.750,.321,27,46,.466,.800,.514,25,38
2021-01-21,GSW,NYK,104.0,119.0,-15,.384,.744,.237,27,46,.463,.780,.458,24,55
2021-01-21,UTA,NOP,129.0,118.0,11,.500,.960,.436,27,39,.494,.767,.440,27,41
2021-01-22,CHO,CHI,110.0,123.0,-13,.494,.760,.219,22,46,.510,.833,.349,33,43
2021-01-22,DET,HOU,102.0,103.0,-1,.378,.676,.469,17,55,.389,.750,.341,24,51
2021-01-22,IND,ORL,120.0,118.0,2,.495,.889,.353,28,44,.457,.625,.459,29,49
2021-01-22,CLE,BRK,125.0,113.0,12,.517,.844,.320,24,50,.483,.882,.326,23,29
2021-01-22,PHI,BOS,122.0,110.0,12,.556,.833,.429,23,45,.456,.800,.400,23,32
2021-01-22,TOR,MIA,101.0,81.0,20,.464,.667,.425,22,45,.429,.800,.226,19,32
2021-01-22,MIN,ATL,98.0,116.0,-18,.430,.833,.250,30,40,.458,.833,.429,21,55
2021-01-22,SAS,DAL,117.0,122.0,-5,.461,.767,.429,21,49,.484,.900,.359,23,42
2021-01-22,LAC,OKC,120.0,106.0,14,.512,.960,.303,21,48,.471,.769,.333,24,29
2021-01-22,PHO,DEN,126.0,130.0,-4,.500,1.000,.386,30,45,.515,.947,.231,32,43
2021-01-22,SAC,NYK,103.0,94.0,9,.418,.714,.353,21,55,.383,.680,.227,19,57
2021-01-23,BRK,MIA,128.0,124.0,4,.530,.808,.514,34,47,.472,.844,.283,29,31
2021-01-23,DET,PHI,110.0,114.0,-4,.430,.733,.424,25,43,.458,.789,.348,14,49
2021-01-23,MIN,NOP,120.0,110.0,10,.429,.811,.353,23,50,.460,.714,.303,21,42
2021-01-23,CHI,LAL,90.0,101.0,-11,.393,.727,.320,18,45,.456,.806,.211,20,42
2021-01-23,DAL,HOU,108.0,133.0,-25,.446,.725,.200,15,36,.547,.793,.432,28,52
2021-01-23,PHO,DEN,112.0,120.0,-8,.402,.778,.302,26,50,.412,.781,.417,22,65
2021-01-23,UTA,GSW,127.0,108.0,19,.479,.773,.400,28,57,.452,.667,.359,30,35
2021-01-24,IND,TOR,102.0,107.0,-5,.402,.864,.333,23,47,.411,.692,.429,24,45
2021-01-24,LAC,OKC,108.0,100.0,8,.446,.750,.304,26,46,.442,.643,.200,22,51
2021-01-24,BOS,CLE,141.0,103.0,38,.559,.852,.500,26,55,.400,.735,.303,24,34
2021-01-24,ORL,CHO,104.0,107.0,-3,.448,.692,.447,27,43,.477,.563,.389,28,43
2021-01-24,MIL,ATL,129.0,115.0,14,.549,.704,.323,32,52,.506,.773,.359,27,27
2021-01-24,SAS,WAS,121.0,101.0,20,.500,.909,.484,27,44,.424,.643,.333,23,50
2021-01-24,POR,NYK,116.0,113.0,3,.470,.913,.370,19,39,.453,.920,.414,20,47
2021-01-25,DET,PHI,119.0,104.0,15,.500,.842,.447,22,47,.426,.750,.321,15,36
2021-01-25,IND,TOR,129.0,114.0,15,.513,.822,.414,26,45,.409,.889,.368,24,39
2021-01-25,ORL,CHO,117.0,108.0,9,.477,.636,.514,31,49,.438,.704,.289,22,41
2021-01-25,BRK,MIA,98.0,85.0,13,.400,.864,.289,24,49,.369,.706,.256,20,45
2021-01-25,CLE,LAL,108.0,115.0,-7,.465,.864,.429,19,44,.483,.750,.313,21,40
2021-01-25,DAL,DEN,113.0,117.0,-4,.488,.833,.344,26,34,.506,.786,.429,25,49
2021-01-25,CHI,BOS,103.0,119.0,-16,.466,.400,.436,28,41,.506,.800,.517,28,44
2021-01-25,GSW,MIN,130.0,108.0,22,.494,.757,.467,21,46,.415,.880,.333,26,47
2021-01-25,POR,OKC,122.0,125.0,-3,.469,.762,.341,17,50,.512,.600,.450,25,43
2021-01-26,ATL,LAC,108.0,99.0,9,.463,.960,.385,20,46,.404,.864,.308,23,46
2021-01-26,HOU,WAS,107.0,88.0,19,.420,.724,.324,16,44,.393,.739,.192,19,49
2021-01-26,UTA,NYK,108.0,94.0,14,.402,.864,.313,24,53,.434,.706,.370,15,44
2021-01-27,CHO,IND,106.0,116.0,-10,.411,.905,.342,28,39,.511,.833,.400,34,47
2021-01-27,CLE,DET,122.0,107.0,15,.540,.739,.524,24,37,.451,.759,.407,29,40
2021-01-27,ORL,SAC,107.0,121.0,-14,.417,.944,.385,25,47,.489,.654,.424,30,50
2021-01-27,ATL,BRK,128.0,132.0,-4,.479,.893,.394,29,37,.531,.850,.344,29,36
2021-01-27,MIA,DEN,82.0,109.0,-27,.375,.818,.289,24,38,.457,1.000,.326,29,49
2021-01-27,PHI,LAL,107.0,106.0,1,.482,.615,.360,24,38,.477,.640,.333,20,37
2021-01-27,TOR,MIL,108.0,115.0,-7,.404,.833,.400,26,46,.430,.731,.364,30,59
2021-01-27,SAS,BOS,110.0,106.0,4,.561,.625,.286,22,46,.429,.857,.333,15,39
2021-01-27,NOP,WAS,124.0,106.0,18,.517,.625,.395,27,50,.402,.905,.342,29,39
2021-01-27,PHO,OKC,97.0,102.0,-5,.379,.833,.349,19,49,.447,.714,.400,21,48
2021-01-27,UTA,DAL,116.0,104.0,12,.462,.762,.390,20,50,.462,.889,.343,22,36
2021-01-27,GSW,MIN,123.0,111.0,12,.529,.783,.441,32,46,.425,.697,.389,23,39
2021-01-28,HOU,POR,104.0,101.0,3,.422,.833,.277,19,47,.419,.750,.415,16,49
2021-01-28,DET,LAL,107.0,92.0,15,.460,1.000,.389,27,38,.409,.667,.429,25,44
2021-01-28,MIA,LAC,105.0,109.0,-4,.444,.800,.394,24,45,.414,.909,.405,22,55
2021-01-28,PHO,GSW,114.0,93.0,21,.466,.913,.344,34,57,.384,.750,.289,21,48
2021-01-29,CHO,IND,108.0,105.0,3,.506,.667,.432,35,42,.483,.769,.314,30,39
2021-01-29,WAS,ATL,100.0,116.0,-16,.365,.816,.250,13,47,.448,.765,.324,16,47
2021-01-29,NOP,MIL,131.0,126.0,5,.469,.714,.438,32,45,.500,.773,.371,29,49
2021-01-29,NYK,CLE,102.0,81.0,21,.488,.875,.370,20,41,.345,.833,.308,15,43
2021-01-29,TOR,SAC,124.0,126.0,-2,.488,.818,.406,20,35,.551,.774,.444,31,38
2021-01-29,MIN,PHI,94.0,118.0,-24,.427,.778,.303,20,38,.448,.842,.500,20,51
2021-01-29,OKC,BRK,125.0,147.0,-22,.465,.853,.421,23,36,.570,.875,.422,33,50
2021-01-29,ORL,LAC,90.0,116.0,-26,.360,.889,.303,20,49,.489,1.000,.351,25,49
2021-01-29,SAS,DEN,119.0,109.0,10,.543,.808,.435,29,41,.526,.650,.452,25,37
2021-01-29,UTA,DAL,120.0,101.0,19,.437,.923,.417,21,56,.430,.667,.273,20,40
2021-01-30,CHI,POR,122.0,123.0,-1,.506,1.000,.467,31,43,.511,.842,.405,20,35
2021-01-30,CHO,MIL,126.0,114.0,12,.478,.850,.477,32,41,.488,.667,.400,22,46
2021-01-30,MIA,SAC,105.0,104.0,1,.468,.846,.344,25,39,.482,.455,.378,22,41
2021-01-30,NOP,HOU,112.0,126.0,-14,.451,.621,.293,27,48,.489,.800,.435,32,45
2021-01-30,BOS,LAL,95.0,96.0,-1,.488,.643,.286,24,42,.440,.684,.290,20,45
2021-01-30,SAS,MEM,112.0,129.0,-17,.470,.808,.448,25,38,.560,.667,.486,34,45
2021-01-30,DAL,PHO,105.0,111.0,-6,.530,.571,.310,22,38,.457,.871,.455,22,42
2021-01-30,GSW,DET,118.0,91.0,27,.528,.700,.472,34,47,.377,.750,.250,17,38
2021-01-31,NYK,LAC,115.0,129.0,-14,.482,.821,.370,21,36,.543,.857,.447,26,38
2021-01-31,DEN,UTA,128.0,117.0,11,.540,.842,.643,28,39,.427,.846,.426,28,38
2021-01-31,IND,PHI,110.0,119.0,-9,.488,.818,.357,21,41,.489,.677,.308,20,44
2021-01-31,TOR,ORL,115.0,102.0,13,.456,.955,.308,27,48,.402,.821,.361,22,42
2021-01-31,WAS,BRK,149.0,146.0,3,.519,.781,.308,24,39,.568,.818,.528,33,45
2021-01-31,MIN,CLE,109.0,104.0,5,.451,.733,.400,24,34,.488,.783,.250,20,55
2021-02-01,ATL,LAL,99.0,107.0,-8,.474,.824,.379,27,36,.519,.833,.304,24,31
2021-02-01,MIA,CHO,121.0,129.0,-8,.473,.640,.413,28,48,.453,.846,.512,31,44
2021-02-01,CHI,NYK,110.0,102.0,8,.477,.750,.324,30,40,.425,.846,.207,21,45
2021-02-01,CLE,MIN,100.0,98.0,2,.417,.742,.318,26,52,.392,.636,.289,20,45
2021-02-01,MIL,POR,134.0,106.0,28,.552,.583,.500,38,53,.375,1.000,.357,19,45
2021-02-01,NOP,SAC,109.0,118.0,-9,.396,.833,.300,22,46,.477,.769,.326,31,52
2021-02-01,OKC,HOU,106.0,136.0,-30,.438,.789,.382,21,45,.480,.909,.538,30,50
2021-02-01,DAL,PHO,108.0,109.0,-1,.430,.960,.313,16,42,.467,.833,.371,19,45
2021-02-01,SAS,MEM,102.0,133.0,-31,.416,.682,.351,28,42,.559,.778,.500,37,53
